Á,Aacute
$,dollar
𝔻,Dopf
𝕕,dopf
¨,Dot
˙,dot
◌⃜,DotDot
≐,doteq
≑,doteqdot
≐,DotEqual
∸,dotminus
∔,dotplus
⊡,dotsquare
⌆,doublebarwedge
∯,DoubleContourIntegral
¨,DoubleDot
⇓,DoubleDownArrow
⇐,DoubleLeftArrow
⇔,DoubleLeftRightArrow
⫤,DoubleLeftTee
⟸,DoubleLongLeftArrow
⟺,DoubleLongLeftRightArrow
⟹,DoubleLongRightArrow
⇒,DoubleRightArrow
⊨,DoubleRightTee
⇑,DoubleUpArrow
⇕,DoubleUpDownArrow
∥,DoubleVerticalBar
↓,DownArrow
⇓,Downarrow
↓,downarrow
⤓,DownArrowBar
⇵,DownArrowUpArrow
◌̑,DownBreve
⇊,downdownarrows
⇃,downharpoonleft
⇂,downharpoonright
⥐,DownLeftRightVector
⥞,DownLeftTeeVector
↽,DownLeftVector
⥖,DownLeftVectorBar
⥟,DownRightTeeVector
⇁,DownRightVector
⥗,DownRightVectorBar
⊤,DownTee
↧,DownTeeArrow
⤐,drbkarow
⌟,drcorn
⌌,drcrop
𝒟,Dscr
𝒹,dscr
Ѕ,DScy
ѕ,dscy
⧶,dsol
Đ,Dstrok
đ,dstrok
⋱,dtdot
▿,dtri
▾,dtrif
⇵,duarr
⥯,duhar
⦦,dwangle
Џ,DZcy
џ,dzcy
⟿,dzigrarr
É,Eacute
é,eacute
⩮,easter
Ě,Ecaron
ě,ecaron
≖,ecir
Ê,Ecirc
ê,ecirc
≕,ecolon
Э,Ecy
э,ecy
⩷,eDDot
Ė,Edot
≑,eDot
ė,edot
ⅇ,ee
≒,efDot
𝔈,Efr
𝔢,efr
⪚,eg
È,Egrave
è,egrave
⪖,egs
⪘,egsdot
⪙,el
∈,Element
⏧,elinters
ℓ,ell
⪕,els
⪗,elsdot
Ē,Emacr
ē,emacr
∅,empty
∅,emptyset
◻,EmptySmallSquare
∅,emptyv
▫,EmptyVerySmallSquare
 ,emsp
 ,emsp13
 ,emsp14
Ŋ,ENG
ŋ,eng
 ,ensp
Ę,Eogon
ę,eogon
𝔼,Eopf
𝕖,eopf
⋕,epar
⧣,eparsl
⩱,eplus
ε,epsi
Ε,Epsilon
ε,epsilon
ϵ,epsiv
≖,eqcirc
≕,eqcolon
≂,eqsim
⪖,eqslantgtr
⪕,eqslantless
⩵,Equal
=,equals
≂,EqualTilde
≟,equest
⇌,Equilibrium
≡,equiv
⩸,equivDD
⧥,eqvparsl
⥱,erarr
≓,erDot
ℰ,Escr
ℯ,escr
≐,esdot
⩳,Esim
≂,esim
Η,Eta
η,eta
Ð,ETH
ð,eth
Ë,Euml
ë,euml
€,euro
!,excl
∃,exist
∃,Exists
ℰ,expectation
ⅇ,ExponentialE
ⅇ,exponentiale
≒,fallingdotseq
Ф,Fcy
ф,fcy
♀,female
ﬃ,ffilig
ﬀ,fflig
ﬄ,ffllig
𝔉,Ffr
𝔣,ffr
ﬁ,filig
◼,FilledSmallSquare
▪,FilledVerySmallSquare
fj,fjlig
♭,flat
ﬂ,fllig
▱,fltns
ƒ,fnof
𝔽,Fopf
𝕗,fopf
∀,ForAll
∀,forall
⋔,fork
⫙,forkv
ℱ,Fouriertrf
⨍,fpartint
½,frac12
⅓,frac13
¼,frac14
⅕,frac15
⅙,frac16
⅛,frac18
⅔,frac23
⅖,frac25
¾,frac34
⅗,frac35
⅜,frac38
⅘,frac45
⅚,frac56
⅝,frac58
⅞,frac78
⁄,frasl
⌢,frown
ℱ,Fscr
𝒻,fscr
ǵ,gacute
Γ,Gamma
γ,gamma
Ϝ,Gammad
ϝ,gammad
⪆,gap
Ğ,Gbreve
ğ,gbreve
Ģ,Gcedil
Ĝ,Gcirc
ĝ,gcirc
Г,Gcy
г,gcy
Ġ,Gdot
ġ,gdot
≧,gE
≥,ge
⪌,gEl
⋛,gel
≥,geq
≧,geqq
⩾,geqslant
⩾,ges
⪩,gescc
⪀,gesdot
⪂,gesdoto
⪄,gesdotol
⋛︀,gesl
⪔,gesles
𝔊,Gfr
𝔤,gfr
⋙,Gg
≫,gg
⋙,ggg
ℷ,gimel
Ѓ,GJcy
ѓ,gjcy
≷,gl
⪥,gla
⪒,glE
⪤,glj
⪊,gnap
⪊,gnapprox
≩,gnE
⪈,gne
⪈,gneq
≩,gneqq
⋧,gnsim
𝔾,Gopf
𝕘,gopf
`,grave
≥,GreaterEqual
⋛,GreaterEqualLess
≧,GreaterFullEqual
⪢,GreaterGreater
≷,GreaterLess
⩾,GreaterSlantEqual
≳,GreaterTilde
𝒢,Gscr
ℊ,gscr
≳,gsim
⪎,gsime
⪐,gsiml
>,GT
≫,Gt
>,gt
⪧,gtcc
⩺,gtcir
⋗,gtdot
⦕,gtlPar
⩼,gtquest
⪆,gtrapprox
⥸,gtrarr
⋗,gtrdot
⋛,gtreqless
⪌,gtreqqless
≷,gtrless
≳,gtrsim
≩︀,gvertneqq
≩︀,gvnE
ˇ,Hacek
 ,hairsp
½,half
ℋ,hamilt
Ъ,HARDcy
ъ,hardcy
⇔,hArr
↔,harr
⥈,harrcir
↭,harrw
^,Hat
ℏ,hbar
Ĥ,Hcirc
ĥ,hcirc
♥,hearts
♥,heartsuit
…,hellip
⊹,hercon
ℌ,Hfr
𝔥,hfr
ℋ,HilbertSpace
⤥,hksearow
⤦,hkswarow
⇿,hoarr
∻,homtht
↩,hookleftarrow
↪,hookrightarrow
ℍ,Hopf
𝕙,hopf
―,horbar
─,HorizontalLine
ℋ,Hscr
𝒽,hscr
ℏ,hslash
Ħ,Hstrok
ħ,hstrok
≎,HumpDownHump
≏,HumpEqual
⁃,hybull
‐,hyphen
Í,Iacute
í,iacute
⁣,ic
Î,Icirc
î,icirc
И,Icy
и,icy
İ,Idot
Е,IEcy
е,iecy
¡,iexcl
⇔,iff
ℑ,Ifr
𝔦,ifr
Ì,Igrave
ì,igrave
ⅈ,ii
⨌,iiiint
∭,iiint
⧜,iinfin
℩,iiota
Ĳ,IJlig
ĳ,ijlig
ℑ,Im
Ī,Imacr
ī,imacr
ℑ,image
ⅈ,ImaginaryI
ℐ,imagline
ℑ,imagpart
ı,imath
⊷,imof
Ƶ,imped
⇒,Implies
∈,in
℅,incare
∞,infin
⧝,infintie
ı,inodot
∬,Int
∫,int
⊺,intcal
ℤ,integers
∫,Integral
⊺,intercal
⋂,Intersection
⨗,intlarhk
⨼,intprod
⁣,InvisibleComma
⁢,InvisibleTimes
Ё,IOcy
ё,iocy
Į,Iogon
į,iogon
𝕀,Iopf
𝕚,iopf
Ι,Iota
ι,iota
⨼,iprod
¿,iquest
ℐ,Iscr
𝒾,iscr
∈,isin
⋵,isindot
⋹,isinE
⋴,isins
⋳,isinsv
∈,isinv
⁢,it
Ĩ,Itilde
ĩ,itilde
І,Iukcy
і,iukcy
Ï,Iuml
ï,iuml
Ĵ,Jcirc
ĵ,jcirc
Й,Jcy
й,jcy
𝔍,Jfr
𝔧,jfr
ȷ,jmath
𝕁,Jopf
𝕛,jopf
𝒥,Jscr
𝒿,jscr
Ј,Jsercy
ј,jsercy
Є,Jukcy
є,jukcy
Κ,Kappa
κ,kappa
ϰ,kappav
Ķ,Kcedil
ķ,kcedil
К,Kcy
к,kcy
𝔎,Kfr
𝔨,kfr
ĸ,kgreen
Х,KHcy
х,khcy
Ќ,KJcy
ќ,kjcy
𝕂,Kopf
𝕜,kopf
𝒦,Kscr
𝓀,kscr
⇚,lAarr
Ĺ,Lacute
ĺ,lacute
⦴,laemptyv
ℒ,lagran
Λ,Lambda
λ,lambda
⟪,Lang
⟨,lang
⦑,langd
⟨,langle
⪅,lap
ℒ,Laplacetrf
«,laquo
↞,Larr
⇐,lArr
←,larr
⇤,larrb
⤟,larrbfs
⤝,larrfs
↩,larrhk
↫,larrlp
⤹,larrpl
⥳,larrsim
↢,larrtl
⪫,lat
⤛,lAtail
⤙,latail
⪭,late
⪭︀,lates
⤎,lBarr
⤌,lbarr
❲,lbbrk
{,lbrace
[,lbrack
⦋,lbrke
⦏,lbrksld
⦍,lbrkslu
Ľ,Lcaron
ľ,lcaron
Ļ,Lcedil
ļ,lcedil
⌈,lceil
{,lcub
Л,Lcy
л,lcy
⤶,ldca
“,ldquo
„,ldquor
⥧,ldrdhar
⥋,ldrushar
↲,ldsh
≦,lE
≤,le
⟨,LeftAngleBracket
←,LeftArrow
⇐,Leftarrow
←,leftarrow
⇤,LeftArrowBar
⇆,LeftArrowRightArrow
↢,leftarrowtail
⌈,LeftCeiling
⟦,LeftDoubleBracket
⥡,LeftDownTeeVector
⇃,LeftDownVector
⥙,LeftDownVectorBar
⌊,LeftFloor
↽,leftharpoondown
↼,leftharpoonup
⇇,leftleftarrows
↔,LeftRightArrow
⇔,Leftrightarrow
↔,leftrightarrow
⇆,leftrightarrows
⇋,leftrightharpoons
↭,leftrightsquigarrow
⥎,LeftRightVector
⊣,LeftTee
↤,LeftTeeArrow
⥚,LeftTeeVector
⋋,leftthreetimes
⊲,LeftTriangle
⧏,LeftTriangleBar
⊴,LeftTriangleEqual
⥑,LeftUpDownVector
⥠,LeftUpTeeVector
↿,LeftUpVector
⥘,LeftUpVectorBar
↼,LeftVector
⥒,LeftVectorBar
⪋,lEg
⋚,leg
≤,leq
≦,leqq
⩽,leqslant
⩽,les
⪨,lescc
⩿,lesdot
⪁,lesdoto
⪃,lesdotor
⋚︀,lesg
⪓,lesges
⪅,lessapprox
⋖,lessdot
⋚,lesseqgtr
⪋,lesseqqgtr
⋚,LessEqualGreater
≦,LessFullEqual
≶,LessGreater
≶,lessgtr
⪡,LessLess
≲,lesssim
⩽,LessSlantEqual
≲,LessTilde
⥼,lfisht
⌊,lfloor
𝔏,Lfr
𝔩,lfr
≶,lg
⪑,lgE
⥢,lHar
↽,lhard
↼,lharu
⥪,lharul
▄,lhblk
Љ,LJcy
љ,ljcy
⋘,Ll
≪,ll
⇇,llarr
⌞,llcorner
⇚,Lleftarrow
⥫,llhard
◺,lltri
Ŀ,Lmidot
ŀ,lmidot
⎰,lmoust
⎰,lmoustache
⪉,lnap
⪉,lnapprox
≨,lnE
